Epoch 1: Loss = 0.6905, Train Acc = 0.7714, Val Acc = 0.7896
Epoch 2: Loss = 0.2362, Train Acc = 0.9194, Val Acc = 0.9218
Epoch 3: Loss = 0.1498, Train Acc = 0.9430, Val Acc = 0.9464
Epoch 4: Loss = 0.2023, Train Acc = 0.9411, Val Acc = 0.9404
Epoch 5: Loss = 0.1689, Train Acc = 0.9574, Val Acc = 0.9583
Epoch 6: Loss = 0.1044, Train Acc = 0.9669, Val Acc = 0.9647
Epoch 7: Loss = 0.0780, Train Acc = 0.9735, Val Acc = 0.9699
Epoch 8: Loss = 0.0682, Train Acc = 0.9771, Val Acc = 0.9712
Epoch 9: Loss = 0.0714, Train Acc = 0.9804, Val Acc = 0.9737
Epoch 10: Loss = 0.0890, Train Acc = 0.9773, Val Acc = 0.9694
Epoch 11: Loss = 0.0758, Train Acc = 0.9769, Val Acc = 0.9689
Epoch 12: Loss = 0.0500, Train Acc = 0.9852, Val Acc = 0.9731
Epoch 13: Loss = 0.0244, Train Acc = 0.9883, Val Acc = 0.9748
Epoch 14: Loss = 0.0501, Train Acc = 0.9882, Val Acc = 0.9753
Epoch 15: Loss = 0.0364, Train Acc = 0.9921, Val Acc = 0.9756
Epoch 16: Loss = 0.0579, Train Acc = 0.9887, Val Acc = 0.9728
Epoch 17: Loss = 0.0340, Train Acc = 0.9941, Val Acc = 0.9763
Epoch 18: Loss = 0.0419, Train Acc = 0.9930, Val Acc = 0.9767
Epoch 19: Loss = 0.0321, Train Acc = 0.9925, Val Acc = 0.9763
Epoch 20: Loss = 0.0463, Train Acc = 0.9960, Val Acc = 0.9780
Epoch 21: Loss = 0.0165, Train Acc = 0.9960, Val Acc = 0.9787
Epoch 22: Loss = 0.0140, Train Acc = 0.9979, Val Acc = 0.9806
Epoch 23: Loss = 0.0077, Train Acc = 0.9985, Val Acc = 0.9811
Epoch 24: Loss = 0.0177, Train Acc = 0.9981, Val Acc = 0.9795
Epoch 25: Loss = 0.0124, Train Acc = 0.9989, Val Acc = 0.9804
Epoch 26: Loss = 0.0076, Train Acc = 0.9991, Val Acc = 0.9795
Epoch 27: Loss = 0.0100, Train Acc = 0.9991, Val Acc = 0.9784
Epoch 28: Loss = 0.0070, Train Acc = 0.9987, Val Acc = 0.9801
Epoch 29: Loss = 0.0059, Train Acc = 0.9997, Val Acc = 0.9806
Epoch 30: Loss = 0.0042, Train Acc = 0.9995, Val Acc = 0.9812
Epoch 31: Loss = 0.0060, Train Acc = 0.9997, Val Acc = 0.9815
Epoch 32: Loss = 0.0070, Train Acc = 0.9998, Val Acc = 0.9810
Epoch 33: Loss = 0.0069, Train Acc = 0.9998, Val Acc = 0.9806
Epoch 34: Loss = 0.0025, Train Acc = 0.9999, Val Acc = 0.9813
Epoch 35: Loss = 0.0025, Train Acc = 0.9999, Val Acc = 0.9816
Epoch 36: Loss = 0.0022, Train Acc = 0.9999, Val Acc = 0.9814
Epoch 37: Loss = 0.0011, Train Acc = 0.9999, Val Acc = 0.9810
Epoch 38: Loss = 0.0018, Train Acc = 0.9999, Val Acc = 0.9814
Epoch 39: Loss = 0.0049, Train Acc = 0.9999, Val Acc = 0.9815
Epoch 40: Loss = 0.0064, Train Acc = 0.9999, Val Acc = 0.9815
Epoch 41: Loss = 0.0011, Train Acc = 1.0000, Val Acc = 0.9817
Epoch 42: Loss = 0.0031, Train Acc = 1.0000, Val Acc = 0.9814
Epoch 43: Loss = 0.0014, Train Acc = 1.0000, Val Acc = 0.9815
Epoch 44: Loss = 0.0016, Train Acc = 1.0000, Val Acc = 0.9816
Epoch 45: Loss = 0.0009, Train Acc = 1.0000, Val Acc = 0.9813
Epoch 46: Loss = 0.0015, Train Acc = 1.0000, Val Acc = 0.9812
Epoch 47: Loss = 0.0015, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 48: Loss = 0.0019, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 49: Loss = 0.0021, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 50: Loss = 0.0006, Train Acc = 1.0000, Val Acc = 0.9808
Epoch 51: Loss = 0.0018, Train Acc = 1.0000, Val Acc = 0.9815
Epoch 52: Loss = 0.0011, Train Acc = 1.0000, Val Acc = 0.9815
Epoch 53: Loss = 0.0009, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 54: Loss = 0.0012, Train Acc = 1.0000, Val Acc = 0.9812
Epoch 55: Loss = 0.0008, Train Acc = 1.0000, Val Acc = 0.9813
